
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
63.321, , 129.022, 101.306, 1.24153, 0.999999, 1.36051e-08, 1.12452e-05, -0.00120984, , , , , , , , , , , , , 
63.821, , 129.022, 101.306, 1.24682, 0.999999, 1.52453e-08, 1.2601e-05, -0.00120984, , , , , , , , , , , , , 
64.321, , 129.022, 101.306, 1.24876, 0.999999, 1.68878e-08, 1.39586e-05, -0.00120984, , , , , , , , , , , , , 
64.821, , 129.022, 101.306, 1.24948, 0.999999, 1.85312e-08, 1.53169e-05, -0.00120984, , , , , , , , , , , , , 
65.321, , 129.022, 101.306, 1.24974, 0.999999, 2.01748e-08, 1.66754e-05, -0.00120984, , , , , , , , , , , , , 
65.821, , 129.022, 101.306, 1.24984, 0.999999, 2.18185e-08, 1.80341e-05, -0.00120984, , , , , , , , , , , , , 
66.321, , 129.022, 101.306, 1.24987, 0.999999, 2.34623e-08, 1.93928e-05, -0.00120984, , , , , , , , , , , , , 
66.821, , 129.022, 101.306, 1.24989, 0.999999, 2.51061e-08, 2.07515e-05, -0.00120984, , , , , , , , , , , , , 
67.321, , 129.022, 101.306, 1.24989, 0.999999, 2.67499e-08, 2.21102e-05, -0.00120984, , , , , , , , , , , , , 
67.821, , 129.022, 101.306, 1.24989, 0.999999, 2.83937e-08, 2.34689e-05, -0.00120984, , , , , , , , , , , , , 
68.321, , 129.022, 101.306, 1.24989, 0.999999, 3.00376e-08, 2.48276e-05, -0.00120984, , , , , , , , , , , , , 
68.821, , 129.022, 101.306, 1.24989, 0.999999, 3.16814e-08, 2.61863e-05, -0.00120984, , , , , , , , , , , , , 
69.321, , 129.022, 101.306, 1.24989, 0.999999, 3.33252e-08, 2.7545e-05, -0.00120984, , , , , , , , , , , , , 
69.821, , 129.022, 101.306, 1.2499, 0.999999, 3.4969e-08, 2.89037e-05, -0.00120984, , , , , , , , , , , , , 
70.321, , 129.022, 101.306, 1.2499, 0.999999, 3.66128e-08, 3.02624e-05, -0.00120984, , , , , , , , , , , , , 
70.821, , 129.022, 101.306, 1.2499, 0.999999, 3.82566e-08, 3.16211e-05, -0.00120984, , , , , , , , , , , , , 
71.321, , 129.022, 101.306, 1.2499, 0.999999, 3.99004e-08, 3.29797e-05, -0.00120984, , , , , , , , , , , , , 
71.821, , 129.852, 101.304, 1.24988, 0.999999, 4.15442e-08, 3.43384e-05, -0.00120984, , , , , , , , , , , , , 
