Format Version,1.23,Take Name,Take 2022-04-21 07.56.13 AM_007,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2022-04-21 12.33.40.997 DU.,Total Frames in Take,4853,Total Exported Frames,4853,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1258,Unlabeled 1258,Unlabeled 1258
,ID,"C47B0","C47B0","C47B0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
477,15.900000,1328.229126,792.714355,1598.792969
478,15.933333,1333.041626,792.408997,1607.175171
479,15.966667,1338.436646,792.276917,1615.557617
480,16.000000,1343.948364,792.140869,1623.381714
481,16.033333,1349.844116,791.888489,1630.710693
482,16.066667,1355.967773,791.616943,1637.819824
483,16.100000,1362.533081,791.203125,1644.471680
484,16.133333,1369.314575,790.905640,1650.826538
485,16.166667,1376.365112,790.510803,1656.730469
486,16.200000,1383.526611,790.195251,1662.291138
487,16.233333,1390.905762,789.941711,1667.702271
488,16.266667,1398.556885,789.720093,1672.619507
489,16.300000,1406.341797,789.493896,1677.177490
490,16.333333,1414.488281,789.046692,1681.409180
491,16.366667,1422.689941,788.709961,1685.210449
492,16.400000,1431.185425,788.267334,1688.979126
493,16.433333,1439.704956,787.743103,1691.722412
494,16.466667,1448.433105,787.221436,1694.933472
495,16.500000,1457.545410,786.521118,1697.457275
496,16.533333,1466.517578,785.682495,1699.660400
497,16.566667,1475.982178,784.804443,1701.443970
498,16.600000,1485.351807,783.807861,1702.833740
499,16.633333,1495.051392,782.880188,1704.170532
500,16.666667,1504.847168,781.938965,1705.192627
501,16.700000,1514.992065,780.852600,1705.608032
502,16.733333,1525.065674,779.977173,1706.208984
503,16.766667,1535.387939,778.923157,1706.321533
504,16.800000,1545.862671,777.952026,1706.337158
505,16.833333,1556.354492,777.024536,1706.113403
506,16.866667,1567.025391,776.052490,1705.531860
507,16.900000,1577.986816,775.182922,1704.643921
508,16.933333,1588.992798,774.409790,1704.082764
509,16.966667,1599.842407,773.589050,1703.343506
510,17.000000,1611.094971,772.769653,1702.188599
511,17.033333,1622.264282,771.706970,1701.425903
512,17.066667,1633.708618,770.770996,1700.507813
513,17.100000,1645.035522,769.853821,1699.188965
514,17.133333,1656.468750,769.016724,1698.264404
515,17.166667,1668.067383,768.100708,1697.144653
516,17.200000,1679.705322,767.184448,1696.140259
517,17.233333,1691.369995,766.316040,1694.702637
518,17.266667,1703.147461,765.573486,1693.596924
519,17.300000,1715.011963,764.973633,1692.507690
520,17.333333,1726.773438,764.461121,1691.669556
521,17.366667,1738.827759,763.829529,1690.453125
522,17.400000,1750.759155,763.376953,1688.947876
523,17.433333,1762.668701,763.025146,1687.858521
524,17.466667,1774.776245,762.769348,1686.763062
525,17.500000,1786.712036,762.441040,1685.328369
526,17.533333,1798.836914,762.381348,1684.282959
527,17.566667,1810.940918,762.134583,1682.850708
528,17.600000,1822.997559,761.962769,1681.582153
529,17.633333,1835.200317,761.862244,1679.758667
530,17.666667,1847.364746,761.958984,1678.305176
531,17.700000,1859.400879,761.907654,1676.909668
532,17.733333,1871.609375,762.023560,1675.123779
533,17.766667,1883.682007,762.254272,1673.950317
534,17.800000,1895.898438,762.162537,1671.929321
535,17.833333,1908.177856,762.407349,1670.296997
536,17.866667,1920.342896,762.538391,1668.541260
537,17.900000,1932.680786,762.722473,1667.046753
